HS.GPA,College.GPA,CatOrDogPerson,Alcohol,Favorite.CSC.Course,HoursOfSleep,YannyOrLaurel
3.96,3.93,Cat,0.25,CSC-314,6,Laurel
3.8,3.86,Dog,0,CSC-314,6,Yanny
2.7,3.71,Cat,0,,8,Laurel
2.9,2.7,Cat,3,CSC 341,7,Laurel
3.12,3.2,Dog,0,CSC-270,7.5,Laurel
4,3.95,Cat,0,CSC-210,7,Laurel
4.53,4,Dog,0,CSC-315,7.5,Laurel
3.7,3.85,Cat,0,CSC-314,9,Laurel
2.7,3.6,Dog,0,CSC-360,3.5,Laurel
3,2.7,Cat,0,CSC-230,7,Yanny
3.4,2.48,Cat,5,CSC-215,8,
3,3.2,Dog,0,CSC-230,7,Yanny
3.74,3.94,Dog,0,CSC-210,7.5,Laurel
3.47,4,Dog,0,,7.5,Yanny
2,3.4,Dog,3,CSC-270,6,Laurel
3.8,3.5,Dog,0,CSC-210,4,Laurel
