HS GPA,College GPA,CatOrDogPerson,Alcohol,Sleep,Favorite Meal,Streaming,Mobile,Season,Writing,FruitsOrVeggies,LaurelOrYanny
2.6,2.5,Cat,0,7,Lunch,Disney+,Apple,Fall,Pens,Fruits,Laurel
2.4,3.94,Cat,0,6,Breakfast,I do not use any streaming services,Android,Winter,Pens,Fruits,Yanny
3.5,3.6,Dog,0,7,Dinner,YouTube,Android,Fall,Pencils,Vegetables,Yanny
2.5,3,Cat,0,6,Lunch,YouTube,Android,Summer,Pencils,Vegetables,Yanny
3.9,2.9,Cat,2,5,Breakfast,Netflix,Android,Fall,Pens,Fruits,Yanny
3.33,3.45,Dog,1,6,Dinner,YouTube,Apple,Winter,Pens,Vegetables,Laurel
3.6,3.56,Dog,0,8,Dinner,Netflix,Apple,Fall,Pens,Fruits,Laurel
3.1,3.92,Dog,1,7,Breakfast,YouTube,Android,Fall,Pens,Fruits,Laurel
3.4,2.7,Cat,1,6,Dinner,Netflix,Android,Summer,Pencils,Fruits,Laurel
3.5,3.6,Cat,4,6,Lunch,Netflix,Android,Fall,Both,Vegetables,Laurel
3.7,4,Cat,0,8,None of the Above,YouTube,Android,Fall,Pens,Fruits,Yanny
3.65,3.98,Dog,0,7,Breakfast,Hulu,Apple,Fall,Pens,Fruits,Yanny
3.2,3.57,Cat,0,7,Breakfast,YouTube,Apple,Spring,Pens,Fruits,None of the above
1.8,3.27,Cat,2,5,Dinner,Netflix,Apple,Fall,Pens,Fruits,Yanny
3,2.5,Dog,3,8,Dinner,None of the above,Apple,Spring,Pencils,Fruits,Yanny
3,3.39,Dog,3,6,Dinner,Netflix,Apple,Summer,Pencils,Fruits,Laurel
