HS.GPA,College.GPA,CatOrDogPerson,Alcohol,FavoriteLanguage,FavoritePizzaTopping
3.4,3.6,Dog,4,Python,Bacon
3,3.3,Cat,0,Java,Cheese
3.6,3.7,Dog,0.5,Java,Pepperoni
2.73,2.58,Dog,0,None of the above,Pineapple
3.2,3.5,Dog,1,Python,Cheese
3.5,3.29,Cat,0,C++,Pepperoni
3.2,2.7,Dog,0,Python,Cheese
2.5,2.4,Dog,0,C++,Pepperoni
3.5,3.7,Dog,1,C++,Pepperoni
2.7,2.7,Dog,2,Python,Bacon
3.9,3.84,Dog,2,None of the above,Pepperoni
2.9,2.7,Dog,1,Java,Bacon
3.65,3.64,Dog,1,Java,Pepperoni
2.6,2.7,Cat,0.5,C++,Bacon
2.5,2.4,Dog,0,C++,Bacon
3.4,3.3,Dog,4,C++,Pepperoni
2.9,3.1,Cat,1,C++,Pineapple
3.4,2.97,Dog,0,C++,Pineapple
